Population;Precip.mean;Precip.var;Temp.mean;Temp.var;Latitude;Location;Date;Month;Male.size;Male.weight;GiftWeight;Female.size;Female.weight;MalesWithGift;MalesWithoutGift;MalesSub;Females;FemalesSub;FemalesEggsac;FemalesSpiderlings;Juveniles;TotalSpiders;Gifts;Worthless.gifts;W.gifts.prop;Prey;Sample
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;set;5;0.115;0.0004;4.6;0.154;3;32;21;17;15;28;5;12;133;3;3;1;227;1
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;oct;4.1;NA;0;4.3;NA;1;22;4;31;1;17;1;4;81;1;1;1;95;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;nov;3.9;0.098;0.0035;3.9;0.145;7;18;1;9;0;22;3;3;63;8;5;0.63;180;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2021;dec;3.9;0.08;0.0019;4.1;0.102;6;35;7;32;8;3;0;24;115;6;3;0.5;77;NA
Xanxere;5.14;0.88;19.17;14.93;26.78;North;2022;nov;4.6;0.108;0.0034;4.6;0.166;4;3;1;12;1;7;0;2;30;4;3;0.75;3293;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;set;3.8;0.087;0.0014;4;0.111;5;29;19;34;6;16;0;16;125;5;4;0.8;145;1
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;oct;3.7;0.08;0.0024;4;0.126;14;20;8;37;5;11;0;7;102;13;4;0.31;102;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;nov;3.7;0.079;0.003;3.8;0.115;10;17;1;22;0;2;0;1;53;10;3;0.3;287;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2021;dec;3.7;0.047;NA;3.6;0.059;0;7;15;6;13;2;0;12;55;0;NA;NA;272;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;oct;4.6;0.088;0.0031;4.9;0.107;23;24;3;30;4;6;0;3;93;23;10;0.43;369;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;oct;4.8;0.083;0.0056;4.7;0.136;18;23;2;23;4;16;0;13;99;18;5;0.28;533;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;nov;4;0.079;0.0106;4.2;0.134;17;13;0;35;0;12;1;3;81;17;1;0.06;889;NA
Candelaria;4.55;0.43;18.12;17.92;29.5;Center-North;2022;nov;4.1;0.081;0.0064;4.5;0.135;9;13;0;17;5;15;0;5;64;10;2;0.2;142;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;set;4.1;0.083;0.0032;4.3;0.143;19;30;7;39;16;25;0;4;140;19;7;0.37;6;1
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;oct;3.6;NA;0.0025;3.8;NA;22;24;2;57;5;14;1;6;131;22;8;0.36;453;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;nov;3.7;0.081;0.0028;3.8;0.105;24;39;1;58;2;38;12;8;182;23;8;0.35;73;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2021;dec;4.1;0.073;0.0033;4.3;0.105;18;14;6;46;11;17;2;49;163;16;4;0.25;348;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2022;oct;4.6;0.089;0.0034;4.4;0.12;22;23;7;36;3;8;1;5;105;22;7;0.32;286;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2022;oct;4.6;0.086;0.0034;4.6;0.127;24;30;9;36;10;15;0;3;127;24;9;0.37;394;NA
Itaara;4.73;0.46;18.26;19.41;29.56;Center-North;2022;nov;4.2;0.09;0.0069;4.3;0.145;20;24;4;32;3;7;0;2;92;20;5;0.25;252;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2015;set;3.6;0.077;0.0017;3.6;0.099;13;55;0;33;6;15;0;1;123;13;6;0.46;12;1
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2015;oct;4.1;0.077;0.0016;4.3;0.116;5;12;1;24;1;4;0;3;50;5;4;0.8;61;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2015;nov;4;0.07;0.0026;3.9;0.083;1;6;2;19;1;8;0;0;37;1;0;0;615;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2015;dec;3.9;0.055;0.0029;3.9;0.069;1;1;1;7;0;4;0;1;15;1;0;0;130;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2016;set;3.9;0.086;0.0024;4;0.144;32;10;3;17;6;5;0;0;73;32;19;0.59;216;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2016;oct;4.3;0.088;0.0015;4.4;0.14;20;13;0;38;4;8;2;0;85;20;13;0.65;12;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2016;nov;3.8;0.077;0.0016;3.8;0.091;6;9;0;9;0;2;0;0;26;6;4;0.67;560;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2022;oct;4.3;0.088;0.0039;4.7;0.128;41;17;2;33;3;1;0;0;97;41;18;0.44;526;NA
Lunarejo;4.11;0.71;17.93;30.28;31.19;Center-South;2022;oct;3.9;0.093;0.0033;4.1;0.123;24;12;0;38;2;13;1;0;90;24;15;0.63;1408;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2015;set;3.4;0.07;NA;3.6;0.083;0;65;5;62;19;4;0;5;160;0;NA;NA;73;1
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2015;oct;3.9;0.071;0.0009;3.9;0.114;6;32;3;35;5;11;0;0;92;6;6;1;7;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2015;nov;3.6;0.064;0.0009;3.7;0.081;4;11;0;8;0;15;0;0;38;4;4;1;261;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2016;set;3.8;0.077;0.0009;4;0.111;12;27;4;37;8;3;0;9;100;12;11;0.92;275;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2016;oct;3.9;0.07;0.0008;3.8;0.09;20;12;8;24;9;22;0;0;95;20;18;0.9;1000;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2016;nov;3.8;0.066;0.0011;3.8;0.085;10;25;3;19;1;16;1;0;75;10;10;1;1000;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2016;dec;3.7;0.057;NA;3.9;0.09;0;8;0;8;0;9;0;0;25;0;NA;NA;224;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2022;oct;3.6;0.072;0.0018;3.9;0.103;37;18;5;29;4;11;1;1;106;37;26;0.7;3421;NA
Queguay;3.69;0.9;18.08;31.9;32.18;Center-South;2022;nov;3.6;0.073;0.0022;3.8;0.115;14;34;4;31;4;18;0;0;105;15;10;0.67;10000;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2015;set;4.2;0.1;NA;4.5;0.114;0;17;7;12;12;0;0;4;52;0;NA;NA;291;1
Minas;3.2;0.11;15.88;28.17;34.28;South;2015;oct;4.5;0.109;0.0044;4.5;0.157;18;19;3;30;3;3;0;0;76;18;6;0.33;6;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2015;nov;4.5;0.102;0.0019;4.7;0.161;10;22;1;21;2;33;0;0;89;10;8;0.8;3;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2015;dec;4.6;0.116;0.0026;4.6;0.127;6;11;3;15;0;22;1;0;58;6;2;0.33;40;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2016;set;4;0.121;0.0025;4.2;0.171;15;18;5;26;2;7;0;0;73;15;8;0.53;6;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2016;oct;4.1;0.121;0.0039;4.1;0.186;31;7;2;11;0;26;1;0;78;31;8;0.26;10000;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2016;nov;4.3;0.125;0.0027;4.4;0.185;18;22;1;17;0;32;2;0;92;18;8;0.44;546;NA
Minas;3.2;0.11;15.88;28.17;34.28;South;2016;dec;4.1;0.11;0.0098;4.4;0.155;1;12;1;13;1;28;3;0;59;1;0;0;10000;NA
